label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
Papelería,223,154,412,572,-as-a-workspace-layout-office-object-isolated-on-white-background-free-photo.jpg,1470,980
Papelería,637,19,713,695,-as-a-workspace-layout-office-object-isolated-on-white-background-free-photo.jpg,1470,980
Lápices,628,525,385,256,-as-a-workspace-layout-office-object-isolated-on-white-background-free-photo.jpg,1470,980
Papelería,139,99,311,199,-blanco-pluma-telC3A9fono-inteligente-y-taza-de-cafC3A9-en-la-mesa-de-madera.jpg,450,299
Lápices,42,182,138,117,-blanco-pluma-telC3A9fono-inteligente-y-taza-de-cafC3A9-en-la-mesa-de-madera.jpg,450,299
Papelería,8,36,198,246,-de-oficina-con-vista-superior-de-suministros-bloc-de-notas-pluma-y-papel-de.jpg,450,300
Lápices,81,79,91,188,-de-oficina-con-vista-superior-de-suministros-bloc-de-notas-pluma-y-papel-de.jpg,450,300
Papelería,173,116,265,177,-portC3A1til-en-la-pequeC3B1a-mesa-de-madera-trabajar-en-casa-en-concepto-de.jpg,450,299
Lápices,247,164,107,73,-portC3A1til-en-la-pequeC3B1a-mesa-de-madera-trabajar-en-casa-en-concepto-de.jpg,450,299
Papelería,0,141,346,158,-y-un-bolC3ADgrafo-con-ordenador-portC3A1til-y-ratC3B3n-inalC3A1mbrico-en-el.jpg,450,300
Lápices,210,195,152,105,-y-un-bolC3ADgrafo-con-ordenador-portC3A1til-y-ratC3B3n-inalC3A1mbrico-en-el.jpg,450,300
Papelería,0,76,325,150,100224057-computadora-portC3A1til.jpg,450,300
Lápices,179,153,144,73,100224057-computadora-portC3A1til.jpg,450,300
Papelería,70,74,242,192,106185537-elementos-comerciales-caC3ADdos-en-desorden-creativo-en-la-mesa-blanca.jpg,450,300
Lápices,174,249,155,40,106185537-elementos-comerciales-caC3ADdos-en-desorden-creativo-en-la-mesa-blanca.jpg,450,300
Papelería,90,107,356,193,107389923-hombre-de-negocios-manos-escribiendo-en-espiral-en-el-escritorio-de-madera.jpg,450,300
Papelería,85,4,252,292,124383894-bloc-de-notas-abierto-y-taza-de-cafC3A9-con-donut-en-la-mesa-de-madera.jpg,450,306
Lápices,0,76,128,131,124383894-bloc-de-notas-abierto-y-taza-de-cafC3A9-con-donut-en-la-mesa-de-madera.jpg,450,306
Lápices,288,120,49,186,124383894-bloc-de-notas-abierto-y-taza-de-cafC3A9-con-donut-en-la-mesa-de-madera.jpg,450,306
Papelería,29,43,193,213,142304193-cuaderno-y-taza-de-cafC3A9-sobre-fondo-de-madera-vista-superior.jpg,450,298
Papelería,228,64,196,220,142304193-cuaderno-y-taza-de-cafC3A9-sobre-fondo-de-madera-vista-superior.jpg,450,298
Lápices,123,203,131,84,142304193-cuaderno-y-taza-de-cafC3A9-sobre-fondo-de-madera-vista-superior.jpg,450,298
Papelería,170,45,155,209,142695051-vista-superior-de-la-tableta-digital-del-bloc-de-notas-s-tC3A9-sobre-fondo-rojo.jpg,450,300
Lápices,361,110,69,138,142695051-vista-superior-de-la-tableta-digital-del-bloc-de-notas-s-tC3A9-sobre-fondo-rojo.jpg,450,300
Papelería,129,78,183,216,152792660-bloc-de-notas-con-cuaderno-y-taza-de-cafC3A9-en-la-mesa.jpg,450,300
Lápices,254,154,32,142,152792660-bloc-de-notas-con-cuaderno-y-taza-de-cafC3A9-en-la-mesa.jpg,450,300
Papelería,207,107,131,172,167982978-bloc-de-notas-con-teclado-de-computadora-y-flor-en-la-mesa.jpg,450,300
Lápices,271,173,54,105,167982978-bloc-de-notas-con-teclado-de-computadora-y-flor-en-la-mesa.jpg,450,300
Papelería,156,116,185,169,170992999-mesa-de-escritorio-de-oficina-con-computadora-portC3A1til-taza-de-cafC3A9-y-libreta.jpg,450,299
Lápices,338,148,52,112,170992999-mesa-de-escritorio-de-oficina-con-computadora-portC3A1til-taza-de-cafC3A9-y-libreta.jpg,450,299
Papelería,129,61,203,139,196963230-bloc-de-notas-vacC3ADo-teclado-de-computadora-y-otros-objetos-comerciales2.jpg,450,300
Lápices,230,247,58,53,196963230-bloc-de-notas-vacC3ADo-teclado-de-computadora-y-otros-objetos-comerciales2.jpg,450,300
Papelería,165,68,145,183,3A1-encima-de-la-mesa-de-madera-con-suministros-vista-superior-endecha-plana2.jpg,450,300
Lápices,300,110,30,130,3A1-encima-de-la-mesa-de-madera-con-suministros-vista-superior-endecha-plana2.jpg,450,300
Lápices,140,68,34,166,3A1-encima-de-la-mesa-de-madera-con-suministros-vista-superior-endecha-plana2.jpg,450,300
Papelería,158,0,182,200,45899225-oficina-de-escritorio.jpg,450,300
Lápices,220,26,96,172,45899225-oficina-de-escritorio.jpg,450,300
Papelería,99,72,316,226,47503250-cuaderno-abierto-con-material-de-oficina-el-espacio-para-el-texto.jpg,450,322
Lápices,0,88,80,148,47503250-cuaderno-abierto-con-material-de-oficina-el-espacio-para-el-texto.jpg,450,322
Lápices,76,283,223,24,47503250-cuaderno-abierto-con-material-de-oficina-el-espacio-para-el-texto.jpg,450,322
Papelería,92,86,240,174,5886683-escritorio-de-oficina.jpg,450,300
Lápices,244,122,54,89,5886683-escritorio-de-oficina.jpg,450,300
Papelería,144,95,180,155,60599405-cuaderno-con-bolC3ADgrafo-y-equipo-de-oficina-en-escritorio.jpg,450,300
Lápices,229,209,95,63,60599405-cuaderno-con-bolC3ADgrafo-y-equipo-de-oficina-en-escritorio.jpg,450,300
Papelería,112,21,290,218,65860703-asuntos-a-bloc-de-notas-y-artC3ADculos-de-papelerC3ADa-en-la-mesa-de-madera.jpg,450,300
Lápices,177,190,196,92,65860703-asuntos-a-bloc-de-notas-y-artC3ADculos-de-papelerC3ADa-en-la-mesa-de-madera.jpg,450,300
Lápices,247,185,170,115,65860703-asuntos-a-bloc-de-notas-y-artC3ADculos-de-papelerC3ADa-en-la-mesa-de-madera.jpg,450,300
